2021/10/05,11:10:06,stop_rover,0000/00/00,00:00:00
2021/10/05,11:10:06,stop_rover,0000/00/00,00:00:00
2021/10/05,11:10:06,stop_rover,0000/00/00,00:00:00
2021/10/05,11:10:07,stop_rover,0000/00/00,00:00:00
2021/10/05,11:10:07,stop_rover,0000/00/00,00:00:00
2021/10/05,11:10:07,stop_rover,0000/00/00,00:00:00
2021/10/05,11:10:07,stop_rover,0000/00/00,00:00:00
2021/10/05,11:10:07,stop_rover,0000/00/00,00:00:00
2021/10/05,11:10:08,stop_rover,0000/00/00,00:00:00
2021/10/05,11:10:08,stop_rover,0000/00/00,00:00:00
2021/10/05,11:10:08,stop_rover,0000/00/00,00:00:00
2021/10/05,11:10:08,stop_rover,0000/00/00,00:00:00
2021/10/05,11:10:08,stop_rover,0000/00/00,00:00:00
2021/10/05,11:10:09,stop_rover,0000/00/00,00:00:00
2021/10/05,11:10:09,stop_rover,0000/00/00,00:00:00
2021/10/05,11:10:09,stop_rover,0000/00/00,00:00:00
2021/10/05,11:10:14,stop_rover,0000/00/00,00:00:00
2021/10/05,11:10:18,stop_rover,0000/00/00,00:00:00
2021/10/05,11:10:18,stop_rover,0000/00/00,00:00:00
2021/10/05,11:10:18,stop_rover,0000/00/00,00:00:00
2021/10/05,11:10:19,stop_rover,0000/00/00,00:00:00
2021/10/05,11:10:19,stop_rover,0000/00/00,00:00:00
2021/10/05,16:13:27,stop_rover,0000/00/00,00:00:00
2021/10/05,16:13:52,stop_rover,0000/00/00,00:00:00
2021/10/05,16:14:14,stop_rover,0000/00/00,00:00:00
2021/10/05,16:14:25,stop_rover,0000/00/00,00:00:00
2021/10/05,16:29:22,stop_rover,0000/00/00,00:00:00
2021/10/05,16:29:24,stop_rover,0000/00/00,00:00:00
2021/10/05,16:29:36,stop_rover,0000/00/00,00:00:00
2021/10/05,16:29:36,stop_rover,0000/00/00,00:00:00
2021/10/05,16:29:37,stop_rover,0000/00/00,00:00:00
2021/10/05,16:29:42,stop_rover,0000/00/00,00:00:00
2021/10/05,16:29:46,stop_rover,0000/00/00,00:00:00
2021/10/05,16:29:47,stop_rover,0000/00/00,00:00:00
2021/10/05,16:29:49,stop_rover,0000/00/00,00:00:00
2021/10/05,16:53:38,stop_rover,0000/00/00,00:00:00
2021/10/05,16:53:40,stop_rover,0000/00/00,00:00:00
2021/10/05,16:54:04,stop_rover,0000/00/00,00:00:00
2021/10/05,16:54:06,stop_rover,0000/00/00,00:00:00
2021/10/05,16:57:07,stop_rover,0000/00/00,00:00:00
2021/10/05,16:57:32,stop_rover,0000/00/00,00:00:00
2021/10/19,15:30:03,stop_rover,0000/00/00,00:00:00
2021/10/26,12:17:03,move_forward,0000/00/00,00:00:00
2021/10/26,12:17:04,stop,0000/00/00,00:00:00
2021/10/26,12:17:04,move_back,0000/00/00,00:00:00
2021/10/26,12:17:05,stop,0000/00/00,00:00:00
2021/10/26,12:17:05,turn_right,0000/00/00,00:00:00
2021/10/26,12:17:05,stop,0000/00/00,00:00:00
2021/10/26,12:17:06,turn_leftt,0000/00/00,00:00:00
2021/10/26,12:17:06,stop,0000/00/00,00:00:00
2021/10/26,12:17:06,turn_leftt,0000/00/00,00:00:00
2021/10/26,12:17:07,stop,0000/00/00,00:00:00
2021/10/26,12:17:07,turn_right,0000/00/00,00:00:00
2021/10/26,12:17:07,stop,0000/00/00,00:00:00
2021/10/26,12:17:07,move_back,0000/00/00,00:00:00
2021/10/26,12:17:08,stop,0000/00/00,00:00:00
2021/10/26,12:17:08,move_forward,0000/00/00,00:00:00
2021/10/26,12:17:08,stop,0000/00/00,00:00:00
2021/10/26,12:17:09,move_back,0000/00/00,00:00:00
2021/10/26,12:17:09,stop,0000/00/00,00:00:00
2021/10/26,12:17:09,turn_right,0000/00/00,00:00:00
